date,perturbation,model,mean_1m_temp_degC,mean_0_5m_temp_degC
2022-07-07,0,1,18.525394,16.460064
2022-07-07,1,1,18.329685,16.493792
2022-07-07,2,1,18.497406,16.521683
2022-07-07,3,1,18.18557,16.439102
2022-07-07,4,1,18.465319,16.445147
2022-07-07,5,1,18.180712,16.451353
2022-07-07,6,1,18.112988,16.417828
2022-07-07,7,1,18.714815,16.550259
2022-07-07,8,1,18.762774,16.106533
2022-07-07,9,1,18.373938,16.459938
2022-07-07,10,1,18.443108,16.491785
2022-07-07,11,1,18.470652,16.507439
2022-07-07,12,1,18.293137,16.463669
2022-07-07,13,1,18.200092,16.460854
2022-07-07,14,1,18.41147,16.457129
2022-07-07,15,1,18.667156,16.450008
2022-07-07,16,1,18.443806,16.495281
2022-07-07,17,1,18.209898,16.544928
2022-07-07,18,1,18.382318,16.515156
2022-07-07,19,1,18.337002,16.390877
2022-07-07,20,1,18.517061,16.49853
2022-07-07,21,1,18.356243,16.321533
2022-07-07,22,1,18.286976,16.508799
2022-07-07,23,1,18.476152,16.436756
2022-07-07,24,1,18.012894,16.342873
2022-07-07,25,1,18.738672,16.49132
2022-07-07,26,1,18.329353,16.54765
2022-07-07,27,1,18.021511,16.358458
2022-07-07,28,1,18.324095,16.434822
2022-07-07,29,1,18.183458,16.471592
2022-07-07,30,1,18.178143,16.473892
2022-07-07,0,2,18.296879,16.31715
2022-07-07,1,2,18.198143,16.451904
2022-07-07,2,2,18.305363,16.415377
2022-07-07,3,2,18.093126,16.40512
2022-07-07,4,2,18.2549,16.328426
2022-07-07,5,2,18.095028,16.42492
2022-07-07,6,2,18.043692,16.394642
2022-07-07,7,2,18.447895,16.353096
2022-07-07,8,2,18.39375,15.896017
2022-07-07,9,2,18.208256,16.380545
2022-07-07,10,2,18.260933,16.406181
2022-07-07,11,2,18.284098,16.41701
2022-07-07,12,2,18.16422,16.411888
2022-07-07,13,2,18.110168,16.435118
2022-07-07,14,2,18.2287,16.36576
2022-07-07,15,2,18.377302,16.227592
2022-07-07,16,2,18.262402,16.405727
2022-07-07,17,2,18.147728,16.558064
2022-07-07,18,2,18.234137,16.461086
2022-07-07,19,2,18.161524,16.290037
2022-07-07,20,2,18.307762,16.375345
2022-07-07,21,2,18.151848,16.19266
2022-07-07,22,2,18.177399,16.479599
2022-07-07,23,2,18.258507,16.31867
2022-07-07,24,2,17.95698,16.307804
2022-07-07,25,2,18.437277,16.250872
2022-07-07,26,2,18.216745,16.526766
2022-07-07,27,2,17.967405,16.327175
2022-07-07,28,2,18.170513,16.35832
2022-07-07,29,2,18.10479,16.456131
2022-07-07,30,2,18.102642,16.461155
2022-07-07,0,3,18.116589,16.403267
2022-07-07,1,3,18.030077,16.470007
2022-07-07,2,3,18.1377,16.48394
2022-07-07,3,3,17.90499,16.398897
2022-07-07,4,3,18.072874,16.388882
2022-07-07,5,3,17.9093,16.414465
2022-07-07,6,3,17.849703,16.376657
2022-07-07,7,3,18.287794,16.513964
2022-07-07,8,3,18.169323,16.13073
2022-07-07,9,3,18.028078,16.413382
2022-07-07,10,3,18.089865,16.45231
2022-07-07,11,3,18.117504,16.473364
2022-07-07,12,3,17.984684,16.425793
2022-07-07,13,3,17.928139,16.427784
2022-07-07,14,3,18.049126,16.408442
2022-07-07,15,3,18.19148,16.378275
2022-07-07,16,3,18.08968,16.452862
2022-07-07,17,3,17.982965,16.531754
2022-07-07,18,3,18.065636,16.482124
2022-07-07,19,3,17.96815,16.332747
2022-07-07,20,3,18.135979,16.454254
2022-07-07,21,3,17.944016,16.253315
2022-07-07,22,3,18.005566,16.4797
2022-07-07,23,3,18.07814,16.383179
2022-07-07,24,3,17.742344,16.282843
2022-07-07,25,3,18.260437,16.42921
2022-07-07,26,3,18.054893,16.527876
2022-07-07,27,3,17.754972,16.29951
2022-07-07,28,3,17.984747,16.38613
2022-07-07,29,3,17.924623,16.442171
2022-07-07,30,3,17.922844,16.445366
2022-07-07,0,4,18.334131,16.25465
2022-07-07,1,4,18.184639,16.346615
2022-07-07,2,4,18.333693,16.343603
2022-07-07,3,4,18.037848,16.296558
2022-07-07,4,4,18.277773,16.247337
2022-07-07,5,4,18.038208,16.313858
2022-07-07,6,4,17.968275,16.282938
2022-07-07,7,4,18.531782,16.341671
2022-07-07,8,4,18.510784,15.927492
2022-07-07,9,4,18.205664,16.285921
2022-07-07,10,4,18.277391,16.316174
2022-07-07,11,4,18.307705,16.333214
2022-07-07,12,4,18.139336,16.308947
2022-07-07,13,4,18.059122,16.324055
2022-07-07,14,4,18.236855,16.275013
2022-07-07,15,4,18.449627,16.210234
2022-07-07,16,4,18.277922,16.318563
2022-07-07,17,4,18.0982,16.433857
2022-07-07,18,4,18.233189,16.357965
2022-07-07,19,4,18.150078,16.203304
2022-07-07,20,4,18.342052,16.308985
2022-07-07,21,4,18.146828,16.118238
2022-07-07,22,4,18.14967,16.368748
2022-07-07,23,4,18.285845,16.23701
2022-07-07,24,4,17.853361,16.199886
2022-07-07,25,4,18.526947,16.252806
2022-07-07,26,4,18.200783,16.413153
2022-07-07,27,4,17.865604,16.21762
2022-07-07,28,4,18.154436,16.26321
2022-07-07,29,4,18.04891,16.341732
2022-07-07,30,4,18.045235,16.345879
2022-07-07,0,5,18.2,16.5267
2022-07-07,1,5,18.164165,16.560173
2022-07-07,2,5,18.25616,16.597054
2022-07-07,3,5,18.012638,16.471407
2022-07-07,4,5,18.157135,16.504122
2022-07-07,5,5,18.020458,16.48559
2022-07-07,6,5,17.947716,16.441181
2022-07-07,7,5,18.397848,16.660606
2022-07-07,8,5,18.15813,16.390854
2022-07-07,9,5,18.131569,16.512407
2022-07-07,10,5,18.202457,16.5599
2022-07-07,11,5,18.236504,16.584332
2022-07-07,12,5,18.102385,16.511745
2022-07-07,13,5,18.04423,16.501316
